post_no,type,writer,body,time,day,hour,day_of_week,course1,course1_kcal,course1_protein,course1_na,course2,course2_kcal,course2_protein,course2_na
926901441,body,Kitchen B1,"[COURSE1]돈육고추장불고기&파채,잡곡밥,콩나물국,멸치견과볶음,연근땅콩조림732kcal(단백질:38g)Na함량:1067mg(염도:0.6%)[COURSE2]중국식볶음밥&자장소스,계란파국,꿔바로우,단무지948kcal(단백질:29g)Na함량:1166mg(염도:0.7%)[샐러드바]그린샐러드,마카로니콘샐러드,살구주스,현미밥/백미밥,포기김치/깍두기",2023-10-05 18:09:00,2023-10-05,18:09,Thursday,"돈육고추장불고기&파채,잡곡밥,콩나물국,멸치견과볶음,연근땅콩조림",732,38,1067.0,"중국식볶음밥&자장소스,계란파국,꿔바로우,단무지",948.0,29.0,1166.0
926901442,body,Kitchen B1,"[COURSE1]돈코츠라멘,타코야끼,방울토마토보코치니&발사믹,락교&초생강885kcal(단백질:46g)Na함량:1188mg(염도:0.7%)[COURSE2]누룽지봉추찜닭,잡곡밥,시금치된장국,미역줄기볶음,콩나물무침993kcal(단백질:64g)Na함량:1182mg(염도:0.7%)[샐러드바]그린샐러드,모듬콩샐러드,오미자차,현미밥/백미밥,포기김치/깍두기",2023-10-06 11:10:00,2023-10-06,11:10,Friday,"돈코츠라멘,타코야끼,방울토마토보코치니&발사믹,락교&초생강",885,46,1188.0,"누룽지봉추찜닭,잡곡밥,시금치된장국,미역줄기볶음,콩나물무침",993.0,64.0,1182.0
926901443,body,Kitchen B1,"[COURSE1]감자수제비,잡곡밥,모듬장조림,명엽채볶음,고들빼기무침882kcal(단백질:46g)Na함량:1054mg(염도:0.6%)[샐러드바]그린샐러드,실곤약샐러드,다시마튀각,현미밥/백미밥,포기김치/열무김치",2023-10-06 18:09:00,2023-10-06,18:09,Friday,"감자수제비,잡곡밥,모듬장조림,명엽채볶음,고들빼기무침",882,46,1054.0,NaN,NaN,NaN,NaN
926901445,body,Kitchen B1,"[COURSE1]소고기미역국,잡곡밥,두부숙회&참치김치볶음,감자채볶음,맑은오이지무침690kcal(단백질:29g)Na함량:1057mg(염도:0.6%)[COURSE2]로제치킨까스&구운채소,쌀밥,크림수프,모닝빵&딸기잼,블루베리무피클701kcal(단백질:26g)Na함량:1096mg(염도:0.7%)[샐러드바]그린샐러드,살사푸실리샐러드,건빵튀김현미밥/백미밥,포기김치/석박지",2023-10-10 11:05:00,2023-10-10,11:05,Tuesday,"소고기미역국,잡곡밥,두부숙회&참치김치볶음,감자채볶음,맑은오이지무침",690,29,1057.0,"로제치킨까스&구운채소,쌀밥,크림수프,모닝빵&딸기잼,블루베리무피클",701.0,26.0,1096.0
926901446,body,Kitchen B1,"[COURSE1]부타야끼소바,맑은팽이버섯국,야채튀김*초간장,락교&초생강743kcal(단백질:41g)Na함량:1198mg(염도:0.8%)[COURSE2]버섯무채영양밥,청국장찌개,섭산적구이&파채,우엉땅콩조림,구운김&부추양념장889kcal(단백질:34g)Na함량:1102mg(염도:0.7%)[샐러드바]그린샐러드,요거트,토핑3종현미밥/백미밥,포기김치/깍두기",2023-10-10 18:07:00,2023-10-10,18:07,Tuesday,"부타야끼소바,맑은팽이버섯국,야채튀김*초간장,락교&초생강",743,41,1198.0,"버섯무채영양밥,청국장찌개,섭산적구이&파채,우엉땅콩조림,구운김&부추양념장",889.0,34.0,1102.0
926901447,body,Kitchen B1,"[COURSE1]철판오징어볶음,잡곡밥,근대된장국,계란말이,콩나물무침839kcal(단백질:38g)Na함량:1186mg(염도:0.8%)[COURSE2]옛날카레라이스,우동국물,새우볼꼬치튀김&타르타르소스,오복지무침882kcal(단백질:30g)Na함량:1188mg(염도0.8:%)[샐러드바]그린샐러드,후르츠콘샐러드,식혜현미밥/백미밥,포기김치/열무김치",2023-10-11 11:06:00,2023-10-11,11:06,Wednesday,"철판오징어볶음,잡곡밥,근대된장국,계란말이,콩나물무침",839,38,1186.0,"옛날카레라이스,우동국물,새우볼꼬치튀김&타르타르소스,오복지무침",882.0,30.0,1188.0
926901448,body,Kitchen B1,"[COURSE1]불고기퀘사디아&양념감자튀김,마카로니콘치즈구이,오이피클,탄산음료853kcal(단백질:23g)Na함량:1179mg(염도:0.8%)[COURSE2]뼈없는감자탕,잡곡밥,옛날소시지전*케찹,가지나물,풋고추양파된장무침997kcal(단백질:58g)Na함량:1134mg(염도:0.7%)[샐러드바]그린샐러드,렌틸콩유자샐러드,웨하스현미밥/백미밥,포기김치/깍두기",2023-10-11 18:16:00,2023-10-11,18:16,Wednesday,"불고기퀘사디아&양념감자튀김,마카로니콘치즈구이,오이피클,탄산음료",853,23,1179.0,"뼈없는감자탕,잡곡밥,옛날소시지전*케찹,가지나물,풋고추양파된장무침",997.0,58.0,1134.0
926901450,body,Kitchen B1,"[COURSE1]두절가자미구이,잡곡밥,돈육고추장찌개,쥐어채볶음,치커리겉절이691kcal(단백질:39g)Na함량:1186mg(염도:0.8%)[COURSE2]핫도그떡볶이,꼬치어묵국,김말이튀김,한입단무지745kcal(단백질:15g)Na함량:1121mg(염도:0.7%)[샐러드바]그린샐러드,누룽지샐러드,매실차현미밥/백미밥,포기김치/석박지",2023-10-12 18:06:00,2023-10-12,18:06,Thursday,"두절가자미구이,잡곡밥,돈육고추장찌개,쥐어채볶음,치커리겉절이",691,39,1186.0,"핫도그떡볶이,꼬치어묵국,김말이튀김,한입단무지",745.0,15.0,1121.0
926901452,body,Kitchen B1,"[COURSE1]콩나물국밥*새우젓,잡곡밥,부추장떡,탕평채,열무된장나물790kcal(단백질:29g)Na함량:1023mg(염도:0.7%)[샐러드바]그린샐러드,천사채샐러드,제크현미밥/백미밥,포기김치/열무김치",2023-10-13 18:07:00,2023-10-13,18:07,Friday,"콩나물국밥*새우젓,잡곡밥,부추장떡,탕평채,열무된장나물",790,29,1023.0,NaN,NaN,NaN,NaN
926901454,body,Kitchen B1,"[COURSE1]매실청돈육불고기,잡곡밥,콩가루배추국,알감자조림,양배추쌈&쌈장800kcal(단백질:35g)Na함량:1157mg(염도:0.7%)[COURSE2]버섯잡채덮밥,계란파국,후르츠탕수육,짜사이무침944kcal(단백질:26g)Na함량:1163mg(염도:0.7%)[샐러드바]그린샐러드,마카로니콘샐러드,살구주스현미밥/백미밥,포기김치/깍두기",2023-10-16 11:12:00,2023-10-16,11:12,Monday,"매실청돈육불고기,잡곡밥,콩가루배추국,알감자조림,양배추쌈&쌈장",800,35,1157.0,"버섯잡채덮밥,계란파국,후르츠탕수육,짜사이무침",944.0,26.0,1163.0
926901456,body,Kitchen B1,"[COURSE1]순대국밥,잡곡밥,메추리알장조림,콩나물무침,고들빼기무침729kcal(단백질:29g)Na함량:1190mg(염도:0.8%)[COURSE2]나시고랭볶음밥,쌀국수국물,사모사튀김*칠리소스,레몬양파절임786kcal(단백질:26g)Na함량:1198mg(염도:0.8%)[샐러드바]그린샐러드,요거트,토핑3종현미밥/백미밥,포기김치/깍두기**석식2코너춘권식재이슈로인하여사모사튀김으로변경되었습니다.",2023-10-16 18:23:00,2023-10-16,18:23,Monday,"순대국밥,잡곡밥,메추리알장조림,콩나물무침,고들빼기무침",729,29,1190.0,"나시고랭볶음밥,쌀국수국물,사모사튀김*칠리소스,레몬양파절임",786.0,26.0,1198.0
926901457,body,Kitchen B1,"[COURSE1]육개장,잡곡밥,바싹부추전,멸치견과볶음,청포묵김가루무침804kcal(단백질:33g)Na함량:1130mg(염도:0.7%)[COURSE2]포크하이라이스&그릴소시지,다시마무채국,감자고로케*케첩,블루베리무피클910kcal(단백질:27g)Na함량:1017mg(염도:0.6%)[샐러드바]그린샐러드,쿠스쿠스샐러드,참깨크래커현미밥/백미밥,포기김치/석박지",2023-10-17 11:11:00,2023-10-17,11:11,Tuesday,"육개장,잡곡밥,바싹부추전,멸치견과볶음,청포묵김가루무침",804,33,1130.0,"포크하이라이스&그릴소시지,다시마무채국,감자고로케*케첩,블루베리무피클",910.0,27.0,1017.0
926901459,body,Kitchen B1,"[COURSE1]계란한알쫄면,사골파국,군만두튀김,브로콜리흑임자무침929kcal(단백질:30g)Na함량:1135mg(염도:0.7%)[COURSE2]자반고등어구이,잡곡밥,된장찌개,무생채,시래기들깨지짐921kcal(단백질:46g)Na함량:1106mg(염도:0.6%)[샐러드바]그린샐러드,바나나칩샐러드,아이스티현미밥/백미밥,포기김치/깍두기",2023-10-17 18:02:00,2023-10-17,18:02,Tuesday,"계란한알쫄면,사골파국,군만두튀김,브로콜리흑임자무침",929,30,1135.0,"자반고등어구이,잡곡밥,된장찌개,무생채,시래기들깨지짐",921.0,46.0,1106.0
926901460,body,Kitchen B1,"[COURSE1]닭보쌈,잡곡밥,호박새우젓국,게맛살미역줄기볶음,무쌈*와사비마요650kcal(단백질:39g)Na함량:1141mg(염도:0.7%)[COURSE2]돈목살필라프,맑은팽이버섯국,오지치즈후라이,유자청치커리무침976kcal(단백질:58g)Na함량:1043mg(염도:0.6%)[샐러드바]그린샐러드,이집트콩샐러드,복분자차현미밥/백미밥,포기김치/깍두기",2023-10-18 11:02:00,2023-10-18,11:02,Wednesday,"닭보쌈,잡곡밥,호박새우젓국,게맛살미역줄기볶음,무쌈*와사비마요",650,39,1141.0,"돈목살필라프,맑은팽이버섯국,오지치즈후라이,유자청치커리무침",976.0,58.0,1043.0
926901462,body,Kitchen B1,"[COURSE1]어묵김치찌개,잡곡밥,미트볼채소케첩조림,느타리버섯볶음,깻잎지무침795kcal(단백질:26g)Na함량:1160mg(염도:0.7%)[COURSE2]가츠동돈부리,우동국물,연두부샐러드&오리엔탈D,락교무침789kcal(단백질:24g)Na함량:1166mg(염도:0.7%)[샐러드바]그린샐러드,실곤약샐러드,계란과자현미밥/백미밥,포기김치/깍두기",2023-10-18 18:00:00,2023-10-18,18:00,Wednesday,"어묵김치찌개,잡곡밥,미트볼채소케첩조림,느타리버섯볶음,깻잎지무침",795,26,1160.0,"가츠동돈부리,우동국물,연두부샐러드&오리엔탈D,락교무침",789.0,24.0,1166.0
926901464,body,Kitchen B1,"[COURSE1]<헬시데이>식물성짜장면&동물복지계란프라이,두부가라아게깐풍,슬림단무지,탄산수(브리지톡)934kcal(단백질:26g)Na함량:1147mg(염도:0.7%)[COURSE2]순두부찌개,잡곡밥,언양식불고기,연근땅콩조림904kcal(단백질:35g)Na함량:1168mg(염도:0.7%)[샐러드바]그린샐러드,오렌지,다시마튀각현미밥/백미밥,포기김치/깍두기",2023-10-19 11:02:00,2023-10-19,11:02,Thursday,"<헬시데이>식물성짜장면&동물복지계란프라이,두부가라아게깐풍,슬림단무지,탄산수(브리지톡)",934,26,1147.0,"순두부찌개,잡곡밥,언양식불고기,연근땅콩조림",904.0,35.0,1168.0
926901465,body,Kitchen B1,"[COURSE1]토마토리조또,양송이크림수프,텐더치킨샐러드&허니머스타드,오이피클할라피뇨940kcal(단백질:28g)Na함량:1182mg(염도:0.8%)[COURSE2]돼지고기두부조림,잡곡밥,수제비국,삼색겨자채무침,가지볶음718kcal(단백질:29g)Na함량:1153mg(염도:0.7%)[샐러드바]그린샐러드,후르츠콘샐러드,고구마스틱현미밥/백미밥,포기김치/석박지",2023-10-19 18:03:00,2023-10-19,18:03,Thursday,"토마토리조또,양송이크림수프,텐더치킨샐러드&허니머스타드,오이피클할라피뇨",940,28,1182.0,"돼지고기두부조림,잡곡밥,수제비국,삼색겨자채무침,가지볶음",718.0,29.0,1153.0
926901466,body,Kitchen B1,"[COURSE1]소고기숙주볶음,잡곡밥,얼갈이된장국,명엽채조림,고춧잎장아찌645kcal(단백질:32g)Na함량:1162mg(염도:0.8%)[COURSE2]스팸마요덮밥,맑은유부국,씨앗닭강정&알새우칩,오이양파무침946kcal(단백질:51g)Na함량:1042mg(염도:0.6%)[샐러드바]그린샐러드,요거트,토핑3종현미밥/백미밥,포기김치/깍두기",2023-10-20 10:42:00,2023-10-20,10:42,Friday,"소고기숙주볶음,잡곡밥,얼갈이된장국,명엽채조림,고춧잎장아찌",645,32,1162.0,"스팸마요덮밥,맑은유부국,씨앗닭강정&알새우칩,오이양파무침",946.0,51.0,1042.0
926901467,body,Kitchen B1,"[COURSE1]닭곰탕,잡곡밥,호박채전,다시마쌈*초고추장,깐마늘장아찌641kcal(단백질:22g)Na함량:1196mg(염도:0.8%)[샐러드바]그린샐러드,연근샐러드,자몽차현미밥/백미밥,포기김치/깍두기",2023-10-20 18:05:00,2023-10-20,18:05,Friday,"닭곰탕,잡곡밥,호박채전,다시마쌈*초고추장,깐마늘장아찌",641,22,1196.0,NaN,NaN,NaN,NaN
926901469,body,Kitchen B1,"[COURSE1]계림닭볶음탕,잡곡밥,사골파국,미역레몬초무침,브로콜리통마늘볶음906kcal(단백질:72g)Na함량:1173mg(염도:0.7%)[COURSE2]멜팅치즈돈까스&구운채소,쌀밥,크림수프,고구마샐러드&요거트D,오이피클838kcal(단백질:24g)Na함량:1197mg(염도:0.8%)[샐러드바]그린샐러드,살사푸실리샐러드,식혜현미밥/백미밥,포기김치/깍두기",2023-10-23 10:56:00,2023-10-23,10:56,Monday,"계림닭볶음탕,잡곡밥,사골파국,미역레몬초무침,브로콜리통마늘볶음",906,72,1173.0,"멜팅치즈돈까스&구운채소,쌀밥,크림수프,고구마샐러드&요거트D,오이피클",838.0,24.0,1197.0
926901471,body,Kitchen B1,"[COURSE1]베테랑칼국수,보리밥(소),미니손만두찜,초간장,무말랭이무침928kcal(단백질:28g)Na함량:1160mg(염도:0.6%)[COURSE2]취나물영양밥*부추양념장,청국장찌개,비엔나소시지볶음,건새우마늘쫑볶음,파래김구이706kcal(단백질:30g)Na함량:1039mg(염도:0.5%)[샐러드바]그린샐러드,요거트,토핑3종현미밥/백미밥,포기김치/깍두기",2023-10-23 17:47:00,2023-10-23,17:47,Monday,"베테랑칼국수,보리밥(소),미니손만두찜,초간장,무말랭이무침",928,28,1160.0,"취나물영양밥*부추양념장,청국장찌개,비엔나소시지볶음,건새우마늘쫑볶음,파래김구이",706.0,30.0,1039.0
926901472,body,Kitchen B1,"[COURSE1]소고기된장찌개,잡곡밥,한식잡채,반반콩자반,양념깻잎지무침756kcal(단백질:24g)Na함량:1196mg(염도:0.8%)[COURSE2]마파두부덮밥,계란파국,지파이유린기,짜사이무침970kcal(단백질:40g)Na함량:1186mg(염도:0.8%)[샐러드바]그린샐러드,과일푸딩,알새우칩현미밥/백미밥,포기김치/석박지",2023-10-24 11:01:00,2023-10-24,11:01,Tuesday,"소고기된장찌개,잡곡밥,한식잡채,반반콩자반,양념깻잎지무침",756,24,1196.0,"마파두부덮밥,계란파국,지파이유린기,짜사이무침",970.0,40.0,1186.0
926901474,body,Kitchen B1,"[COURSE1]돈육콩나물두루치기,잡곡밥,감자양파국,탕평채,열무나물무침693kcal(단백질:40g)Na함량:1168mg(염도:0.7%)[COURSE2]베이컨갈릭볶음밥,미소시루,새우튀김*타르타르소스,우엉파프리카조림803kcal(단백질:22g)Na함량:1156mg(염도:0.6%)[샐러드바]그린샐러드,모듬콩샐러드,석류차현미밥/백미밥,포기김치/깍두기",2023-10-24 18:04:00,2023-10-24,18:04,Tuesday,"돈육콩나물두루치기,잡곡밥,감자양파국,탕평채,열무나물무침",693,40,1168.0,"베이컨갈릭볶음밥,미소시루,새우튀김*타르타르소스,우엉파프리카조림",803.0,22.0,1156.0
926901476,body,Kitchen B1,"[COURSE1]동태지리탕,잡곡밥,도톰완자전,미니새송이버섯볶음,도토리묵채소무침793kcal(단백질:53g)Na함량:1192mg(염도:0.8%)[COURSE2]마제덮밥,우동국물,타코야끼,유자채단무지818kcal(단백질:42g)Na함량:1159mg(염도:0.6%)[샐러드바]그린샐러드,마카로니콘샐러드,생강대롱현미밥/백미밥,포기김치/깍두기",2023-10-25 18:14:00,2023-10-25,18:14,Wednesday,"동태지리탕,잡곡밥,도톰완자전,미니새송이버섯볶음,도토리묵채소무침",793,53,1192.0,"마제덮밥,우동국물,타코야끼,유자채단무지",818.0,42.0,1159.0
926901477,body,Kitchen B1,"[COURSE1]설렁탕,잡곡밥,바싹김치전,호박새우젓볶음,부추겉절이628kcal(단백질:25g)Na함량:1192mg(염도:0.8%)[COURSE2]참치생야채비빔밥,어묵국,찰도그롤*케첩,오복지무침,비빔밥초고추장895kcal(단백질:36g)Na함량:1046mg(염도:0.5%)[샐러드바]그린샐러드,방울토마토,고구마스틱현미밥/백미밥,포기김치/깍두기",2023-10-26 11:00:00,2023-10-26,11:00,Thursday,"설렁탕,잡곡밥,바싹김치전,호박새우젓볶음,부추겉절이",628,25,1192.0,"참치생야채비빔밥,어묵국,찰도그롤*케첩,오복지무침,비빔밥초고추장",895.0,36.0,1046.0
926901478,body,Kitchen B1,"[COURSE1]뼈없는닭갈비,잡곡밥,김치국,숙주나물무침,무쌈겨자채무침858kcal(단백질:41g)Na함량:1172mg(염도:0.7%)[COURSE2]타워함박스테이크&데미소스,쌀밥(소),양송이크림수프,스틱마늘빵,옥수수코울슬로991kcal(단백질:36g)Na함량:1199mg(염도:0.8%)[샐러드바]그린샐러드,바나나칩샐러드,자몽차현미밥/백미밥,포기김치/석박지",2023-10-26 18:20:00,2023-10-26,18:20,Thursday,"뼈없는닭갈비,잡곡밥,김치국,숙주나물무침,무쌈겨자채무침",858,41,1172.0,"타워함박스테이크&데미소스,쌀밥(소),양송이크림수프,스틱마늘빵,옥수수코울슬로",991.0,36.0,1199.0
926901479,body,Kitchen B1,"[COURSE1]잔치국수,충무김밥,충무식오징어무침,두부카츠&어린잎951kcal(단백질:32g)Na함량:1120mg(염도:0.6%)[COURSE2]고추장삼겹살&양파구이,잡곡밥,시금치된장국,감자채볶음,궁채절임943kcal(단백질:31g)Na함량:1144mg(염도:0.7%)[샐러드바]그린샐러드,렌틸콩유자샐러드,수정과현미밥/백미밥,포기김치/석박지",2023-10-27 11:01:00,2023-10-27,11:01,Friday,"잔치국수,충무김밥,충무식오징어무침,두부카츠&어린잎",951,32,1120.0,"고추장삼겹살&양파구이,잡곡밥,시금치된장국,감자채볶음,궁채절임",943.0,31.0,1144.0
926901480,body,Kitchen B1,"[COURSE1]황태미역국,잡곡밥,모듬장조림,부들어묵볶음,오이양파무침735kcal(단백질:39g)Na함량:1169mg(염도:0.7%)[샐러드바]그린샐러드,천사채샐러드,웨하스현미밥/백미밥,포기김치/깍두기",2023-10-27 18:05:00,2023-10-27,18:05,Friday,"황태미역국,잡곡밥,모듬장조림,부들어묵볶음,오이양파무침",735,39,1169.0,NaN,NaN,NaN,NaN
926901481,body,Kitchen B1,"[COURSE1]장터국밥,잡곡밥,늙은호박채전,연근땅공조림,미역줄기볶음774kcal(단백질:30g)Na함량:1199mg(염도:0.8%)[COURSE2]장조림버터비빔밥,미소장국,생선까스&타르타르소스,맑은오이지무침940kcal(단백질:35g)Na함량:1174mg(염도:0.7%)[샐러드바]그린샐러드,마카로니콘샐러드,오미자차현미밥/백미밥,포기김치/깍두기",2023-10-30 11:04:00,2023-10-30,11:04,Monday,"장터국밥,잡곡밥,늙은호박채전,연근땅공조림,미역줄기볶음",774,30,1199.0,"장조림버터비빔밥,미소장국,생선까스&타르타르소스,맑은오이지무침",940.0,35.0,1174.0
926901482,body,Kitchen B1,"[COURSE1]땡초어묵우동,후리가케밥,간장견과닭강정,단무지953kcal(단백질:37g)Na함량:1051mg(염도:0.6%)[COURSE2]볼락한마리구이,잡곡밥,고추장찌개,채소계란찜,얼갈이나물687kcal(단백질:30g)Na함량:1099mg(염도:0.7%)[샐러드바]그린샐러드,요거트,토핑3종현미밥/백미밥,포기김치/깍두기",2023-10-30 18:04:00,2023-10-30,18:04,Monday,"땡초어묵우동,후리가케밥,간장견과닭강정,단무지",953,37,1051.0,"볼락한마리구이,잡곡밥,고추장찌개,채소계란찜,얼갈이나물",687.0,30.0,1099.0
926901484,body,Kitchen B1,"[COURSE1]알리오올리오파스타,빌소시지구이&구운채소*머스터드S,모듬채소피클,탄산음료712kcal(단백질:24g)Na함량:1150mg(염도:0.7%)[COURSE2]매콤제육볶음,잡곡밥,아욱된장국,두부계란구이*양념장,치커리유자청무침729kcal(단백질:38g)Na함량:1164mg(염도:0.7%)[샐러드바]그린샐러드,이집트콩샐러드,다시마튀각현미밥/백미밥,포기김치/석박지",2023-10-31 11:01:00,2023-10-31,11:01,Tuesday,"알리오올리오파스타,빌소시지구이&구운채소*머스터드S,모듬채소피클,탄산음료",712,24,1150.0,"매콤제육볶음,잡곡밥,아욱된장국,두부계란구이*양념장,치커리유자청무침",729.0,38.0,1164.0
926901485,body,Kitchen B1,"[COURSE1]나주곰탕,잡곡밥,동그랑땡전,고구마순들깨나물,마늘쫑무침722kcal(단백질:32g)Na함량:1095mg(염도:0.7%)[COURSE2]불닭마요덮밥,맑은팽이버섯국,어니언링튀김*칠리소스,브로콜리흑임자무침950kcal(단백질:42g)Na함량:1107mg(염도:0.7%)[샐러드바]그린샐러드,후르츠콘샐러드,매실차현미밥/백미밥,포기김치/깍두기",2023-10-31 18:03:00,2023-10-31,18:03,Tuesday,"나주곰탕,잡곡밥,동그랑땡전,고구마순들깨나물,마늘쫑무침",722,32,1095.0,"불닭마요덮밥,맑은팽이버섯국,어니언링튀김*칠리소스,브로콜리흑임자무침",950.0,42.0,1107.0
926901486,body,Kitchen B1,"[COURSE1]짜글이김치찌개,쌀밥&계란프라이,미트볼케첩조림,숙주나물무침,김자반볶음990kcal(단백질:50g)Na함량:1176mg(염도:0.7%)[COURSE2]피자치킨까스&구운채소,흑임자밥(소),옥수수크림스프,모닝빵&딸기잼,블루베리무피클853kcal(단백질:31g)Na함량:1182mg(염도:0.8%)[샐러드바]그린샐러드,요거트,토핑3종현미밥/백미밥,포기김치/깍두기",2023-11-01 11:19:00,2023-11-01,11:19,Wednesday,"짜글이김치찌개,쌀밥&계란프라이,미트볼케첩조림,숙주나물무침,김자반볶음",990,50,1176.0,"피자치킨까스&구운채소,흑임자밥(소),옥수수크림스프,모닝빵&딸기잼,블루베리무피클",853.0,31.0,1182.0
926901487,body,Kitchen B1,"[COURSE1]철판백순대볶음,잡곡밥,호박감자국,멸치견과볶음,무쌈,순대양념장988kcal(단백질:24g)Na함량:1156mg(염도:0.7%)[COURSE2]매콤국물떡볶이,유부국물,모듬튀김,적채무초절임783kcal(단백질:20g)Na함량:1136mg(염도:0.7%)[샐러드바]그린샐러드,살사푸실리샐러드,건빵튀김현미밥/백미밥,포기김치/석박지",2023-11-01 18:08:00,2023-11-01,18:08,Wednesday,"철판백순대볶음,잡곡밥,호박감자국,멸치견과볶음,무쌈,순대양념장",988,24,1156.0,"매콤국물떡볶이,유부국물,모듬튀김,적채무초절임",783.0,20.0,1136.0
926901488,body,Kitchen B1,"[COURSE1]<제철식재-유자>차돌짬뽕,쌀밥(소),유자소스탕수육,짜사이무침987kcal(단백질:57g)Na함량:1197mg(염도:0.8%)[COURSE2]<제철식재-꼬막>꼬막영양밥*부추양념장,된장찌개,섭산적구이&파채무침,알감자조림,가지양념나물737kcal(단백질:28g)Na함량:1153mg(염도:0.7%)[샐러드바]그린샐러드,코울슬로샐러드,식혜현미밥/백미밥,포기김치/깍두기",2023-11-02 10:56:00,2023-11-02,10:56,Thursday,"<제철식재-유자>차돌짬뽕,쌀밥(소),유자소스탕수육,짜사이무침",987,57,1197.0,"<제철식재-꼬막>꼬막영양밥*부추양념장,된장찌개,섭산적구이&파채무침,알감자조림,가지양념나물",737.0,28.0,1153.0
926901489,body,Kitchen B1,"[COURSE1]오징어볶음&소면사리,잡곡밥,미역국,둥근어묵조림,시래기나물832kcal(단백질:40g)Na함량:1176mg(염도:0.7%)[COURSE2]소불고기달걀덮밥,김치국,연두부샐러드&발사믹D,고들빼기무침895kcal(단백질:35g)Na함량:1166mg(염도:0.7%)[샐러드바]그린샐러드,연근샐러드,알새우칩현미밥/백미밥,포기김치/깍두기",2023-11-02 18:19:00,2023-11-02,18:19,Thursday,"오징어볶음&소면사리,잡곡밥,미역국,둥근어묵조림,시래기나물",832,40,1176.0,"소불고기달걀덮밥,김치국,연두부샐러드&발사믹D,고들빼기무침",895.0,35.0,1166.0
926901490,body,Kitchen B1,"[COURSE1]매콤닭두루치기&파채,잡곡밥,조랭이떡국,느타리버섯볶음,모듬채소겉절이731kcal(단백질:26g)Na함량:1156mg(염도:0.7%)[COURSE2]불고기할라피뇨볶음밥,다시마무채국,삼색겨자채무침,고구마맛탕867kcal(단백질:20g)Na함량:1178mg(염도:0.7%)[샐러드바]그린샐러드,오렌지,팝콘현미밥/백미밥,포기김치/석박지",2023-11-03 11:09:00,2023-11-03,11:09,Friday,"매콤닭두루치기&파채,잡곡밥,조랭이떡국,느타리버섯볶음,모듬채소겉절이",731,26,1156.0,"불고기할라피뇨볶음밥,다시마무채국,삼색겨자채무침,고구마맛탕",867.0,20.0,1178.0
926901491,body,Kitchen B1,"[COURSE1]시래기되비지찌개,잡곡밥,비엔나소시지케첩볶음,명엽채볶음,청포묵김가루무침830kcal(단백질:38g)Na함량:1104mg(염도:0.7%)[샐러드바]그린샐러드,멕시칸샐러드,감식초현미밥/백미밥,포기김치/깍두기",2023-11-03 18:05:00,2023-11-03,18:05,Friday,"시래기되비지찌개,잡곡밥,비엔나소시지케첩볶음,명엽채볶음,청포묵김가루무침",830,38,1104.0,NaN,NaN,NaN,NaN
926901493,body,kitchen B1,"[COURSE1]누룽지봉추찜닭,잡곡밥,다시마무채국,탕평채,오복지무침956kcal(단백질:61g)Na함량:1167mg(염도0.7:%)[COURSE2]소고기미나리볶음밥&계란프라이,맑은팽이버섯국,청파래오징어까스&타르타르소스,두부쑥갓나물914kcal(단백질:45g)Na함량:1129mg(염도:0.6%)[샐러드바]그린샐러드,요거트,토핑3종현미밥/백미밥,포기김치/석박지",2023-11-06 11:11:00,2023-11-06,11:11,Monday,"누룽지봉추찜닭,잡곡밥,다시마무채국,탕평채,오복지무침",956,61,1167.0,"소고기미나리볶음밥&계란프라이,맑은팽이버섯국,청파래오징어까스&타르타르소스,두부쑥갓나물",914.0,45.0,1129.0
926901494,body,kitchen B1,"[COURSE1]버섯소불고기,잡곡밥,매콤두부조림,숙주나물,우엉파프리카조림812kcal(단백질:38g)Na함량:1167mg(염도:0.7%)[COURSE2]팟카파오무쌉,쌀국수국물,모듬춘권*칠리소스,레몬양파초절임978kcal(단백질:26g)Na함량:1148mg(염도:0.6%)[샐러드바]그린샐러드,렌틸콩유자샐러드,살구주스현미밥/백미밥,포기김치/깍두기",2023-11-06 18:16:00,2023-11-06,18:16,Monday,"버섯소불고기,잡곡밥,매콤두부조림,숙주나물,우엉파프리카조림",812,38,1167.0,"팟카파오무쌉,쌀국수국물,모듬춘권*칠리소스,레몬양파초절임",978.0,26.0,1148.0
926901495,body,Kitchen B1,"[COURSE1]치즈부대찌개,잡곡밥,깻잎채전,미니새송이버섯볶음,반반콩자반986kcal(단백질:46g)Na함량:1188mg(염도:0.8%)[COURSE2]야채듬뿍하이라이스,미소장국,멘치까스&돈까스소스,양배추적채초절임962kcal(단백질:20g)Na함량:1079mg(염도:0.6%)[샐러드바]그린샐러드,바나나,석류차현미밥/백미밥,포기김치/깍두기",2023-11-07 11:05:00,2023-11-07,11:05,Tuesday,"치즈부대찌개,잡곡밥,깻잎채전,미니새송이버섯볶음,반반콩자반",986,46,1188.0,"야채듬뿍하이라이스,미소장국,멘치까스&돈까스소스,양배추적채초절임",962.0,20.0,1079.0
